start	end	text
0	5260	Da var vi mamma sitt liv som barn i Kenya.
5980	8420	Sånn som hun husker det, fritt fortalt.
13480	21800	Da må jeg bare ta enkle ting, enkle ting som jeg kan prate rundt.
23540	27720	Kanskje jeg skal si hvor vi bodde.
28840	34500	Og vi bodde altså i Thika, som er en liten by på utsida Nairobi.
35200	37820	Det ligger ganske høyt. Nairobi ligger også høyt.
37960	38780	Og det er jo kaffe.
39240	41780	Ja, og du har jo vært der.
43000	51700	Og det var der min far begynte å jobbe og bestyrte en kaffeplantasje i de årene.
53900	55500	Og det heter Rubishlog?
55500	57740	Ja, det heter Rubishlog.
57940	64220	Og det var eid av noen som het Sutcliffe, som jeg tror var briter.
66160	67120	Rett og slett.
69660	71800	Gården lå jo avsides.
73460	74960	Det husker du også, kanskje?
74960	78500	Ja, men det var jo veldig mye landbruk der.
79200	82040	Men jeg husker det som avsides.
83760	92220	Sånn at det livet de hadde, det var jo veldig isolert, kan du si, på mange måter.
92440	95540	Og det, sånn var det på alle farmene, at ekteparene var det.
95700	98280	Det var bare de to med barn.
98280	104520	Og så hadde vi da Kikur som tjener i huset.
104520	104620	Ja.
105880	108060	Som tjener i huset, og som jobbet...
108640	113120	Og som også da, så hadde du da, i hvert fall på Rubishlog, så var det en liten landsby.
113200	121440	Og den husker jeg da med, som ble avtegnet i de norske barnbøkene med stråhus og leirehus.
123680	125360	Og sånn typisk sånn som...
125360	125820	Var det sånn?
126060	126280	Ja.
126540	127300	Åja, det var det, ja.
127360	127480	Ja.
127620	129040	Men de bygde de selv, altså?
129220	131200	Det bygde de selv, på esteten.
131480	131580	Ja.
131660	132600	Så det heter jo estate.
133060	133160	Ja.
133620	134200	Og de...
134200	136740	Så de bodde der, det var sånn leire...
136740	138640	Landsby, village, kallte det det.
139200	141480	Åpe, open fire og spise.
141680	141740	Ja.
142100	146160	Og det var de som jobbet på plantasjen og plukket inn kaffe inn.
146320	146440	Mhm.
147180	148060	Spesielt kvinnene.
148340	148400	Ja.
148400	152160	Mens noen av mannfolket hadde jo jobb med å...
152160	153500	Å...
153500	154140	Å...
154140	154160	Å...
154160	154180	Å...
154180	154520	Å...
154520	154520	
154520	154520	
154520	154540	Å...
154540	154620	Å...
154620	154960	Å...
155960	156640	Å...
156640	156640	
156640	156700	Å...
156700	156700	
156700	156720	Å...
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156720	
156720	156840	Å...
156840	156940	Å...
156940	157700	Å...
157700	157740	Å...
157740	157740	
157740	158920	Å...
158920	158920	
158920	158920	
158920	159520	Å...
159520	160780	Å...
160780	160780	
160780	160780	
160780	161440	Å...
162360	163040	Å...
163040	164200	Å...
164200	164520	Å...
164520	164520	
164520	164520	
164520	164860	Å...
164860	164860	
164860	164860	
167980	168660	Å...
171120	171800	Å...
173660	174340	Å...
178600	178680	Å...
178680	178820	Å...
178820	178900	Å...
179300	179380	Å...
179380	179400	Å...
179400	179400	
180320	180400	Å...
180940	181020	Å...
181020	181060	Å...
181280	181360	Å...
181360	181440	Å...
181440	181480	Å...
181480	181540	Å...
181540	181620	Å...
181620	181660	Å...
183280	183360	Å...
184920	185000	Å...
185000	185080	Å...
185440	185520	Å...
186080	186160	Å...
186160	186160	
186160	186260	Å...
187520	187600	Å...
188460	188540	Å...
190240	190320	Å...
191200	191280	Å...
193760	193840	Å...
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
178900	178900	
208400	208400	
208400	208960	Å...
208960	209120	Å...
209120	209340	Å...
209340	209580	Å...
209580	209940	Å...
209940	211120	Å...
211120	211640	Å...
211640	211860	Å...
211860	211920	Å...
211920	212680	Å...
212680	212860	Å...
212860	213060	Å...
213060	213760	Å...
213760	214460	Å...
214460	214520	Å...
214520	214520	
214520	214680	Å...
214680	215020	Å...
215020	215020	
215020	215660	Å...
215660	217620	Å...
217620	217640	Å...
217640	218200	Å...
218200	218240	Å...
218240	218240	
218240	218720	Å...
218720	220040	Å...
220040	220720	Å...
220720	221580	Å...
221580	221580	
221580	221580	
221580	221580	
221580	221580	
221580	221580	
221580	221980	Å...
221980	222500	Å...
223080	224120	!
209400	209400	
209400	209400	
209400	209400	
209400	209400	
209400	209400	
209400	209400	
209400	209400	
209400	209400	
209400	210400	!
210400	209400	!
209400	210400	!
210400	210400	
210400	211400	!
211400	211400	
211400	211400	
211400	211400	
211400	211400	
211400	211400	
211400	211400	
211400	212400	!
212400	212400	
212400	213400	!
213400	213400	
224120	254120	
254120	284120	
284120	284280	Å...
285120	287240	Nå er vi inne på selve kaffedyrkingen
287480	287620	!
287840	288120	Mm!
288120	288420	Eh...
288420	288940	Så...
288940	289240	Så...
290140	291700	ble jo kaffebønnene behandlet
291700	291840	!
291840	294120	Og det er det jo på en av de filmene!
294260	294440	!
294620	295300	Mikkel!
295840	296040	Ja!
296040	296460	Ja!
296460	297320	Ja!
297320	302360	Når de ble plukket så ble de jo kjørt til den...
304600	305080	!
305620	305800	Den...
305800	306520	Det...
306520	308120	Koffeplant!
308120	308680	Eh...
308680	308820	!
308820	313460	Hvor de helter av alle de rødbærer oppi en svær vannsentrifuge kan du si!
313460	313740	Mm!
314840	316500	Hvor de klarede...
316500	317680	Hvor de da...
317680	325560	På en måte sirkulerte det sånn at skallet ble skilt fra de to hvite bønnene!
325740	325800	Skallet, ja!
326220	330060	Og da kom liksom skallet ut en vei, det husker jeg!
330720	330720	
330720	334940	Og de hvite bønnene ut i en annen vei, i vannrenner!
335220	335420	Ja!
335640	335780	Ah, ok!
336120	336520	Skjønner!
336600	337660	Det var prosessen!
337980	338060	Ja!
338400	340460	Og det var der han hadde sitt kontor!
341360	341440	Ja!
341980	345080	Så vi var ned hos han på det kontoret og besøkte han der!
345260	345360	Mm!
346040	347120	Der førte han regnsen!
347220	348840	Da var det vel afrikanere...
348840	349060	Ja!
349280	351360	De opererte alt dette her!
351520	351580	Ja!
351580	351580	
352620	352900	Mm!
354300	364740	Og så la de det ut på når de hvite bønner da, de ble lagt ut på veldig lange bord,
365020	365160	mm!
366360	368680	Som da hadde en slags seilduk, mm!
370100	370100	
370100	372400	Hvor da det ble tørka i sola!
372400	372920	Ja!
373400	374160	Ja!
374160	382780	Og da er det også på den filmen hvor de afrikanske kvinner står og med armene sine og venner på de bønner...
382780	391400	Men hun bare sier bare sånn lite sidspor drev kenianere med noe kaffe i produksjon før...
392660	393720	Det vet jeg ikke!
393980	394420	Nei!
394560	395720	Det er et interessant spørsmål!
395860	395980	Ja!
396360	397060	Det vet jeg ikke!
397200	403540	Jeg tror ikke med maskiner og plants og sånn, det var noe europeene i før...
403540	406100	Og kaffe kommer jo fra Sør-Amerika!
406480	406480	
406480	413920	Så det, de må jo ha gjort det på at de tørka jo selvfølgelig, men om de drakk det selv, det aner vi ikke!
414120	416840	Nei, nei, nei, det er jo greit! Det kan man jo finne ut av!
417080	426120	Men hvorfor jeg husker dette her er jo fordi at vi av og til gikk fra hovedhuset og ned til The Coffee Plant, eller hva jeg skal kalle det...
426120	429620	Mm! Men gikk det ut gjennom en gate med security da, eller?
429780	433000	Nei, det var ikke noe... Nei, det kan ikke jeg huske!
433000	435040	Så det var rundt hele, eller noen sekunder?
435300	438480	Ja! Og det vi husker jo bare gikk ned en bakke gjennom hagen.
438700	438780	Mm!
440100	445200	Og på veien der så så vi jo det som var gøy som vi håpet på hver gang vi skulle se, det var en kamelon.
445600	446060	Ah, ok!
446120	447880	Så mange så det jo var det gøy!
448160	448220	Ja!
448280	451900	Hvis vi fant en kamelon i veikanten så var det veldig gøy å...
451900	453520	Og de gikk jo så sent!
453820	453920	Ja!
454160	461700	Sånn at hvis vi kom tilbake så hadde den skiftet farge, for den skiftet farge med omgivelsene sine, så satt den på et blad.
461700	462140	Ja!
462460	467300	Og så noen ganger så kunne vi flyttet den over på noe, og så hadde den skiftet farge med om vi kom tilbake.
467600	468580	Det synes vi var gøy!
468720	469180	Ja, klart det.
469360	470580	Men det var du og Venke, da?
470660	470780	Ja!
471180	471880	Og Rose!
472400	473140	Ja, ja, ja!
473640	474800	Vi var aldri alene!
475380	475780	Aldri!
476340	476740	Alene!
477440	477500	Ja!
477500	478160	Og så...
478160	484820	Og hvorfor jeg husker dette så godt med den kaffen var jo, med de der lange bordene, var jo at vi noen ganger fikk lov å gjøre det som...
485640	489040	snu på de kaffen, og det var så god og varmt, og det var så god og varmt.
489180	491000	Ja, fordi de lå i sol og tørkene.
491020	491820	I sol og tørkene.
492340	492400	Ja, ja.
492400	500460	Og så ble det puttet i sekker, og sendt til en eller annen, hvor det ble kjøpt opp.
500460	500820	Ja.
500940	501340	Ikke sant?
501600	502740	Det ble ikke brent deg?
502740	504020	Nei, brent ikke deg.
504340	507060	Kjøpte opp den rå kaffen, de kallte det rå kaffe.
507240	507360	Ja.
508600	511620	Og så ble det vurdert etter kvalitet og alt.
511940	512040	Mhm.
513220	519180	Så det er i hvert fall ett minne jeg har med kaffen.
519620	522920	Ja, bare vent litt for når jeg tenkte på...
524600	529920	Har du noe forhold til liksom hvordan de drakk kaffe selv?
530680	531080	Tokker.
531640	532440	Bestmål Vestefar?
532560	533300	Jo, det gjorde de.
533460	534420	Ja, hun brant sin...
534420	538560	Hun tok jo vår egen kaffe jo, og brant den i komfyren.
539120	539880	Ja, hun gjorde det.
540020	541060	Ja, og malte den.
541160	542200	Og ja, og drakk den liksom.
542400	542600	Ja.
542980	543600	Og det var god.
543600	544380	Det synes hun var veldig gøy.
544540	544720	Ja.
545440	547060	Det vet jeg ikke, det synes de sikkert.
547280	547420	Ja.
547700	549520	Men det husker hun gjorde.
549800	550460	Ja, kult.
550480	551320	Hun kunne det.
551320	551820	Ja.
552040	553320	Hun hadde en egen kvern.
553560	554800	Hun husker den kverna.
555200	558340	Hun malte kaffen og kokte kaffen av.
558500	558640	Ja.
559560	560700	Det var jo kult.
561100	562400	Som koke kaffen?
562780	564100	Ja, det må det ha vært.
564260	565560	Ja, lettere, lettere.
565900	566700	Ja, kult.
567160	567540	Ja.
567760	568580	Det må det ha vært.
568840	569020	Mhm.
