start	end	text
0	8320	nå blir det
8320	10220	avslutningen kan du si
10220	12280	av livet
13580	14680	i Kenya
15700	17800	og da er vi kommet til 1962
19660	21520	hvor det begynte å bli klart
21520	22480	for veldig mange
22480	24880	av europeerne der nede
24880	25460	at
26240	27760	epoken gikk mot slutten
27760	30960	det ble etter hvert bestemt
30960	33420	at Kenya skulle få sin
34360	35080	selvstendighet
35080	38020	utifra en gradvis overgang
38760	40280	det merket jo jeg
40280	41120	som jeg sikkert sa
41120	42540	at den skolen jeg gikk på
42540	44460	ble stengt
44460	47740	og den siste tiden gikk tilbake
47740	49900	til den kindergarten jeg gikk på
52540	53980	en liten
53980	56100	episode som jeg husker
56960	58900	for da hadde foreldrene mine
58900	60140	begynt å snakke om at de
60140	60760	måtte
60760	62660	ville forlate landet
62660	63940	og det var snakk om
63940	64820	hvor de skulle dra
66480	68040	det er blitt fortalt at
68040	69520	han vurderte
72600	74360	hva heter det i dag da
75820	76340	Rhodesia
76340	77760	jeg vet ikke hva det heter
78420	78940	Zimbabwe
78940	79700	Zimbabwe
80600	82160	vurderte Rhodesia en periode
82160	83740	fordi at det er holdt
83740	85480	regimes stand lenge etterpå
85480	86740	med en som heter Ian Smith
87600	88200	men
88200	89600	slo det fra seg
89600	90800	greit at han ikke gjorde det
90800	92820	og Sydafrika
92820	94260	var ikke noe alternativ
94260	96640	for han var ikke for apartheid
96640	97380	ja jeg skjønner
97380	97760	ok
97760	98300	interessant
98300	98900	ja
101120	102220	så da ble
102220	103920	falt valget på
103920	105720	å reise tilbake til Norge
105720	107420	og til Gjerstad og Vik
107420	110020	og han skrev til sine foreldre
110020	110540	og
110540	111600	sa
111600	112800	og søsteren sin
112800	113100	mini
113100	115440	at de ville komme tilbake
116260	117920	og jeg kan huske at
117920	118920	jeg våkna i natt
118920	119360	der
120920	121980	midt på natta
121980	122680	på Rubislov
122680	123540	og jeg hørte han
123540	124220	grein
125640	126800	og stod opp
126800	127940	og løp inn i stua
127940	129720	og da satt han i stolen der
129720	130820	med et brev i handa
130820	131420	og grein
131420	131840	ok
131840	132460	wow
133540	134420	hvor jeg da
134420	135920	i etterkant har forstått
135920	136960	at det var et brev
136960	138120	han fikk tilbake
138120	139160	fra sine foreldre
139160	140460	hvor de rett og slett
140460	141220	ikke syntes det var
141220	142100	noe særlig at han skulle
142100	142640	komme hjem
