start	end	text
3420	4700	Hallo, hallo
4700	6100	Ja, det ser bra
7540	9100	Nei, men nå vet jeg at det funker
10220	10860	Men
12620	14900	Har du liksom tenkt på sånn
15840	16480	Rekkefølgen
17200	18920	Må jo starte med
18920	19920	Jakob
21260	23260	Altså, jeg vil si at
24960	27080	La meg bare liksom si til
27080	27880	Aien
29440	30280	Så det
31220	32800	Intervjuet med Elisabeth Premisen
32800	34460	Som er min mor, jeg heter Tim Knudsen
34460	36440	Hun ble født i Kenya
36440	38080	Og vi skal
38780	39920	Snakke om
39920	42100	Livet hennes i Kenya
42100	44040	Som et barn, jeg tror ble 8
44040	44900	Er det det? Ja
44900	45940	Og
48520	50240	Det er formatet
50240	52300	Her, og det blir et ustrukturert
52300	53920	Kanskje rotete intervju
53920	54240	Men
55200	58240	Det skal bare skrives ned
58240	59540	Og jobbes med
59540	60780	Bearbeides etterpå
61820	62700	Ok, så
62700	63700	Så jeg har skrevet
63700	65560	Hva du vet om de sentrale personene
65560	66140	Og prosessene
66140	67280	Hørte at jeg har kompannet
67860	68580	Ikke sant?
69240	69560	Det er
69560	70880	Bare begynner der
70880	71580	Er du enig med det?
72700	73260	Ja
73260	73260	
74360	76260	Det er kanskje lurt å begynne med
76260	77360	Hvilket år er født?
78200	78760	Ja, ja
78760	79900	Det er 1954
81520	83540	Ikke tenk på det, tenk om du snakker med meg
83540	84160	Åja
84160	86860	Ja, født i 1954
88040	88760	Av
89560	91560	Jakob Prebensen fra Risør
91560	93640	Og Rosemary Durant
94960	96400	Fra England
98100	100780	Hvorfor ble det Kenya?
101020	102920	Det skal jeg forsøke å si noe om nå
102920	106420	For både når det gjelder begge
106420	109000	Og da vil jeg begynne med Jakob
109000	109860	Som
110640	112580	Ble født i 1916
112580	114240	I Risør
114240	117900	Han hadde vært i dag 110 år gammel
117900	118400	Ja
119320	120080	Han
121660	125240	Vokste opp i en nok så velstående familie i Risør
125240	128560	Den gangen det var skipsfart som var tonangivende
128560	130360	De var skipsredere
130360	131760	Og
131760	135040	Etter hvert så gikk jo det
135920	137040	Ikke så bra
137040	140680	Men i hvert fall så flyttet faren hans til Gjerstad
141560	142820	Dette må jeg si nå
142820	145300	For dette har noe med noe som kommer senere
146060	147360	Hvor han nå tok
147360	149960	Kjøpte en gård som heter Vikård
149960	153440	Basert på en arv som hans kone fikk fra Danmark
153440	155080	Ja, det var det da
155080	158680	Han der var han under krigen
159440	160020	Ja
160020	160900	Og i den
160900	163880	Før krigen så hadde han vært på
165460	166040	Val
166880	168280	Nede i Antarktisk
168280	168620	Og
