start	end	text
0	2000	Vi må gjøre det for det nå.
4740	7000	Jeg har sidenopptak om amal.
8520	8940	Vil du nå?
9180	12420	Ja, jeg er ikke historiker, det er bare så det er sagt.
12540	13400	Ja, det er ingenting å snakke om.
13720	20100	Men jeg har forsøkt å tenke litt rundt det, og sette meg litt inn i det.
21600	26120	Fordi jeg fikk jo bare en sidefortalt fra Jakob.
29760	33120	Og realiteten var at Kenya var en britiske koloni.
36440	45120	De oppfordra folk til å komme ut der, og dyrke jorda som de tok fra afrikanerne.
46920	50420	De kjøpte det ikke, men de tok det.
50660	51900	Med militær?
51900	53160	Det vet jeg ikke.
53700	59280	Med en argument med at de hadde greie på hvordan man skulle dyrke jord.
59520	62140	Men dette er noe som en mô graver litt dybere.
62260	67140	Men de drev sikkert å satt opp folkgruppe mô for støt av de ene, for de andre.
67700	69440	Jeg tror det står noe her om det.
69900	73880	Jeg tror hun har en nyansert tilnærming der.
74880	82880	Men årsaken til dette Mau Mau var jo at det var en terrororganisasjon som oppstod.
84920	86800	Og var fra Kukuju stammen.
87740	91280	Og så ble Kukuju stammen delt.
91400	97600	For du hadde de som var loyale motsettlerne, og som jobbet for de, og jobbet på farmene.
97600	107480	Og så hadde du de som da var en del av disse terrorisene.
108460	116840	Og det forteller seg om hvordan de måtte gjennom flere opptak for å bli en del av Mau Mau.
117180	119460	Og de ble påvirket akkurat som i dag.
119680	121240	Altså guma og påvirket.
121240	130640	Og lærte opp til å gjøre disse vestiavske handlingene.
131520	136340	Og så måtte jo myndighetene i Kenya gjøre noe med det.
137800	150060	Og de hadde en sivil, ikke bare militær, men en sivil beredskap i blant settlerne.
150060	152600	Og Jakob var en del av dem.
154280	159840	Derfor gikk han alltid, og det er jo nå et barndomsminne jeg har, at han gikk alltid bevepnet.
161720	162280	Altid.
163320	171000	Og så kan en jo da tenke seg hvordan disse farmene var bygd.
172000	177000	De var da bygd med pigtro rundt hele våningshuset.
178120	181180	I ganske god høyde.
181820	182380	Port.
184160	185100	Vaktmann.
185980	186780	Og nettene.
187860	188680	Hunner.
190600	191640	Og dette husker jeg.
191920	193080	Husker jeg, ja.
194700	203340	Nå begynner vi å nærme oss det husker på Rufus, var den farmen som han bestyrte.
203600	206920	Men kan ikke det holde i fokus på akkurat mamma og det?
206920	219420	Ja, det vet jeg var at det var en del episoder som skattefri Rore, hvor de da måtte jo virkelig gå inn for å prøve å slå det ned.
220420	228160	Og når du sa myndigheten, er det brittiske myndigheter, men i kollaborasjon med Kikui?
228180	229880	Noen av de, ja.
234380	251160	Det som er den stiggedelen, det er jo at engelsmennene de putter jo høyvis av de, som de tok til fange og hadde de i nærmest en konsentrasjonsleier i flere år.
251180	252360	De mamma jo.
253180	255220	Ja, og behandla de helt for faen.
255260	255860	Ja, sikkert.
255860	265020	Dette er noe jeg har lest i etterkant, som aldri ble nevnt. Det står det også en del om. Ingenting i det.
265820	274160	Nei. Men han beskriver jo der at han husker og leser om at det setter seg bedrept.
274180	275240	Ja, det gjorde han.
275260	276280	Husker du noe sånt?
276540	277020	Nei.
277600	279580	Nei. Hvorfor er det forskjellen på det?
279580	290880	Fordi jeg ble født i 1954, og da var opprøret startet i 1950. Så det var jo bare tur.
290900	292380	Han er 11 år enn meg.
293180	293820	Prisja?
294040	297460	Ja, herregud, han er jo herregendt, selvfølgelig. Hvor gammel er han?
297940	298680	Han er 81.
299120	302920	Så opprøret var fremme i 1924?
302920	311320	Han må jo ha vært rundt ...
311320	319740	Han må ha vært mellom fem og ti år, når det forhjulper. Så klart han kan reflektere rundt det.
319960	320480	Ja, ok.
322700	323840	Det er klart.
325040	326480	Når ble de independent?
327040	328380	Det var ikke før de 63.
328380	329360	Nei, det er ikke sant.
331120	332060	Nei, men det er en greie.
333560	337420	Så du har ingen direkte ...
337420	342240	Jeg har ingen minner fra det vann- og opplegget.
342700	344100	Nei, for det var før du ble født.
344100	346200	Ja, før jeg kunne tenke nærmest.
347260	348620	Men, ja, ok.
349180	350100	Nei, men det er en greie.
350280	354420	Men da går det an å fylle inn litt historiske ting. Det finnes jo veldig mye om.
354860	356400	Bare på internett, så det er greit.
